,Clean_Text,Label
778,perintah laku ppkm level libur natal sek,positif
779,perintah rencana terap ppkm level serentak wilayah indonesia desember,positif
780,bktm kampungdalem ipda kukuh mujianto sambang bintibmas satgas ppkm mikro kelas kampungdalem pantau,positif
781,ppkm level terap indonesia desember januari puas buat susah rakyat bia,negatif
782,ppkm taat prokes,positif
783,ppkm ketemu galeri penuh asupan daya tahan tubuh gemes,netral
784,idul fitri idul adha ppkm natal,netral
785,ppkm agama sungguh netizen indonesia,netral
786,hadir boss mega win jackpot juta rupiah menang extra,netral
787,hadir boss mega win jackpot juta rupiah menang extra,netral
788,ppkm islam pki mesra pni tindas murba pki men,netral
789,ppkm islam islam mayoritas tindas habis tindas minoritas,netral
790,operasi yustisi malam tega terap ppkm level laksana sasar area publik,positif
791,bangsat kopit libur islam maulid nabi saw geser ppkm reuni aksi,negatif
792,asa pmerintah lom ngeluarin umum info ppkm selesai,netral
793,kepala kaki kaki kepala atur ppkm mbak rachel venya malu mbak malu,netral
794,paham ceceb,netral
795,pagi kakak salam subuh aamiiiiin kakak ppkm selesai jaga protokol,positif
796,mbak pass mbakkuh hubung ppkm,netral
797,musim ppkm,netral
798,anda ppkm laku umat non muslim tahu,netral
799,pret negeri bawa wabah ppkm razia bubar kerumun,netral
800,anjing hestag kaya ppkmhanyauntukmuslim mau coba gilir ppkm laku salahin perintah anjing,negatif
801,ppkm islam tindas mayoritas angkat minoritas indo,netral
802,ppkm islam pki mesra pni tindas murba pki,netral
803,ppkm islam islam mayoritas tindas habis tindas minorita,netral
804,ppkm islam islam mayoritas tindas persepsi kuasa non islam,netral
805,acara islam laku tentu ppkm sekian terimakasih,netral
806,selamat pagi salam subuh moga weekend ceria salon ppkm,netral
807,ppkm,netral
808,ppkmhanyauntukmuslim terap maksud tka ti,netral
809,ppkm ketat libur akwoakwo,netral
810,wkwkw nek kae lak ppkm kosong kursine ndan,netral
811,ppkm,netral
812,fokus turun level ppkm pemkab bekas larang kerumun nataru,positif
813,ppkm,netral
814,ppkm level atur baru jalan libur nataru,netral
815,tito revisi atur nataru tentu ppkm level,positif
816,presiden joko widodo antar rapat batas,positif
817,tugas pp kabupaten grobogan tim gabung patroli awas ppkm level protkes kendali,positif
818,bodoh banget mentang uang enak jidat berprilaku penjara,negatif
819,ppkm pren rumah,netral
820,ppkm level batal satgas cepat vaksinasi anak anak,netral
821,nafsu vcs yuk nemenin tante colmek sayang ppkm,negatif
822,cari hotel sulit ngegeser libur desember gara ppkm,netral
823,ppkm pelan pelan desah,negatif
824,ppkm diri sndiri,netral
825,dahal ppkm batal,netral
826,wali kota ppkm level palangka raya lanjut desember,positif
827,wali kota ppkm level palangka raya lanjut desember,positif
828,beritasampit wali kota ppkm level palangka raya lanjut desember palangk,netral
829,tahu vrahasia kota dua ketemu anung babeh aldo sam,netral
830,update rekap data implementasi ppkm zonasi kendali tingkat rukun tetangga kalurahan,positif
831,ppkm online,netral
832,anggota komisi ix dpr rahmad handoyo batal laku ppkm level indonesia setela,netral
833,laksana patroli woro woro operasi masker patuh himbauan masyarakat intruks,positif
834,laksana patroli woro woro operasi masker patuh himbauan masyarakat intruks,positif
835,laksana patroli woro woro operasi masker patuh himbauan masyarakat intruks,positif
836,laksana patroli woro woro operasi masker patuh himbauan masyarakat intruks,positif
837,cancel rachel vennya mohon influencer kasih influence bermanfaag ikut,netral
838,cancel eachel vennya mohon influencer kasih influence bermanfaag ikut,netral
839,daftar daerah ppkm jawa bal sesuai inmendagri baru,positif
840,giat ppkm level gabung pilar himbauan prokes bagi masker milik warung makan,positif
841,all this ppkm level shit but indomaret still manages not hour open susah cari atm bca malam,negatif
842,giat operasi yustisi ppkm level pilar himbauan prokes bagi masker gratis,positif
843,ppkm dikendorkan uni,netral
844,giat ppkm makro level himbauan bagi masker dagang pasar karangayu beli,positif
845,maaf buka pamer semenjak jalan uwangan nipis banget mul,netral
846,duli menu creator studio channel channel youtube yuk yuk yuk mum,netral
847,habib dijeblosin penjara langgar ppkm adil,positif
848,besok gausa ppkm looossss seng sopan gausa gubres atur,netral
849,kamren bilang main abang allah,netral
850,berkarir resign kerja situasi ppkm bgsd alas resign atas,negatif
851,masyarakat zaman ppkm pakai masker denda restauran dine denda daga,netral
852,batal ppkm level lengah waspada patuh prokes pkbdkijakart,positif
853,karanganyar serda suparman serta babinsa koramil tasikmadu laksana patroli ppkm level,positif
854,karanganyar serda suparman serta babinsa koramil tasikmadu laksana patroli ppkm level,positif
855,karanganyar serda suparman serta babinsa koramil tasikmadu laksana patroli ppkm level,positif
856,karanganyar serda suparman serta babinsa koramil tasikmadu laksana patroli ppkm level,positif
857,ppkm kokk,netral
858,ppkm citramas,netral
859,natal bdg ppkm ppkm,netral
860,pusing istilah ppkm,netral
861,serius gara-gara sopan tahan kabur karantina bal isu pakai orda,netral
862,suka ppkm level batal,netral
863,yuk saksi acara ilc desember datuk acara kakak,netral
864,ppkm sinis fleksibel puji kaku sinis teg,netral
865,allah ppkm tiada ouuuuggg,netral
866,ppkm level nataru batal laku bisnis hotel solo optimistis,positif
867,usaha hibur jakarta ambil pusing ppkm nataru,positif
868,usaha hibur jakarta ambil pusing ppkm nataru berita,positif
869,ppkm kabar,netral
870,iyaaaa habis ppkm yaaa kedok bangeet anjirr,netral
871,karanganyar serka purwanto serta anggota koramil tasikmadu laksana patroli ppkm level membagik,positif
872,ppkm lebaran bebas,netral
873,karanganyar serka purwanto serta anggota koramil tasikmadu laksana patroli ppkm level membagik,positif
874,karanganyar serka purwanto serta anggota koramil tasikmadu laksana patroli ppkm level membagik,positif
875,mudah jelang resmi jis ppkm level,netral
876,gaoleh ppkm,netral
877,ppkm brengsek,negatif
878,mudah jelang resmi jis ppkm level,netral
879,efek ppkm hideo kojima,netral
880,pssss tinggal foto foto mi hasil ngubek ngubek galeri saking banyak,netral
881,malas ngumpul ppkm,netral
882,hadir acara buka denpasar festival,positif
883,gnti nama ppkm nataru,positif
884,dukung vaksinasi ppkm negeripulihdenganvaksin bersatulawancovid indonesiasehatindonesiahebat,positif
885,dukung vaksinasi ppkm negeripulihdenganvaksin bersatulawancovid indonesiasehatindonesiahebat,positif
886,dukung vaksinasi ppkm negeripulihdenganvaksin bersatulawancovid indonesiasehatindonesiahebat,positif
887,ao mbak smgt tunggu ppkm,netral
888,bar bar besok kena ppkm pargoy,netral
889,damai ppkm before getting stress later,netral
890,ppkm level batal nataru capai tangan indonesia hasil,positif
891,ingga ppkm,netral
892,pindah negara ppkm,netral
893,titik posko sekat kabupaten madiun libur natal,positif
894,maksud ganti judul revisi pusing dengkul hamba ppkm nataru ppkm batal,positif
895,awas ppkm,netral
896,jalan protokol sehat rumah desak masker,positif
897,ppkm tanggal daerah jogja mohon info,netral
898,bhabinkamtibmas penggaron lor bripka zaenal arifin giat sambang ppkm mikro himbau warga download aplikasi,positif
899,ppkm ppkm laku umat islam,netral
900,yahh ppkm skala kalik hyung,netral
901,narasumber ilc ppkm wewenang full youtube,netral
902,luas tambah titik kawasan ganjil genap gage ppkm level jakarta luas titik,positif
903,ppkm nataru dibatalin partner libur heyyyy,positif
904,jaga jarak ppkm,positif
905,hubung sopan ngelanggar atur ppkm anj tukang becak denda masker,negatif
906,beneran natal ppkm cari tiket crb jogja langka hiks,netral
907,ehh ppkm,netral
908,eva pasti terap ppkm level pdiperjuangan pdiperjuanganlampung,netral
909,ppkm yha langgar sopan pulang,netral
910,kendati ppkm level batal lamongan tutup alun alun larang raya,positif
911,ppkm level dicabu doi,netral
912,ppkm nomin short tahu jaga jarak nempel mulu iri tanda gamon putus,netral
913,kendati ppkm level batal lamongan tutup alun alun larang raya,positif
914,ppkm,netral
915,jaga masyarakat bandarlampung wali kota bandar,positif
916,update info ppkm desember atur belumsi,netral
917,btwwww ppkm,netral
918,bhabinkamtibmas aiptu karyadi giat sambang ppkm mikro himbau warga download aplikasi libas patuh,positif
919,tahu informasi bagi ppkm wilayah jabar dasar level pikodata,netral
920,lengah vaksinasi kunci tito buka rapat,negatif
921,ppkm raya kemarin susah malam za jam,netral
922,bandarlampung terap ppkm level natal walikota eva dwiana,positif
923,wali kota bandar lampung eva dwiana laksana laku batas giat masyarakat ppkm level,positif
924,perintah pusat ubah bijak ppkm level atur khusus natal nataru wali,positif
925,walikota bandar lampung eva dwiana wisata hibur bio liburnataru,positif
926,kodim pontianak laksana ppkm skala mikro dim pontianak,positif
927,mendagri terbit instruksi mendagri nomor cegah tanggulang natal,positif
928,cabang weekend banking operasional situasi kondusif info lan,positif
929,halo nauvael hubung tanggap ppkm level giat weekend,positif
930,mendagri terbit instruksi mendagri nomor cegah tanggulang saa,positif
931,gofood pekan malam susah semenjak ppkm zaa sepakat malam,negatif
932,erman angka capai vaksinasi kota bukittinggi capai persen iring,netral
933,lengah vaksinasi kunci tito buka rapat,negatif
934,halo hubung tanggap ppkm level giat weekend banking,positif
935,halo gais selamat malam dengar kabar edar ppkm level batal planning libur,positif
936,perintah batal ppkm level nataru syarat jalan daerah catat,positif
937,kantor cabang weekend banking operasional situasi kondusif info lebi,positif
938,hubung tanggap ppkm level giat weekend banking ban,positif
939,ppkm batal mbak jakarta tanyain kali ajak ngobro,netral
940,ppkm level,netral
941,moga cepat sembuh wabah ppkm kasi sekolah moga warga sadar bersih,positif
942,ppkm,netral
943,ppkm level batal potensi gera juta nataru satgascovid ingatpesanibu,positif
944,sosialisasi ppkm skala mikro satgas tangkal kodim pontianak dim pontianak,positif
945,gaji tunjang pegawai pt angkasa pura tunda rencana pensiun,positif
946,ppkmhanyauntukmuslim ppkmhanyauntukmuslim,netral
947,semenjak ppkm susah cari makan malam gtw nemu dagang lonte,negatif
948,hayoo tebak puasa ppkm nataru,netral
949,ppkm level batal simak atur lengkap libur nataru,positif
950,kelola hotel tunggu pasti bijak ppkm,netral
951,beneran gajadi ppkm libur jahat banget,netral
952,bhabinkamtibmas terboyo kulon aiptu sahidin pilar giat patroli ppkm level pasar bangetayu,positif
953,alhamdulillah program ppkm tekan sebar wabah indonesiamaju,positif
954,ppkm,netral
955,ppkm batal libur kawan stay safe milih rumah tenang,positif
956,offline online libur hak lepas diadain ppkm giat onli,positif
957,pasca ppkm pasca koronkar masyarakat bebas hajat undang undang undang kondangan kondan,positif
958,nataru ppkm dibatalin,positif
959,babinsa desa ganti warno serda dedi is anggota koramil matesih laksana ppkm lepel pasar pagi matesih,positif
960,babinsa desa ganti warno serda dedi is anggota koramil matesih laksana ppkm lepel pasar pagi matesih,positif
961,babinsa desa ganti warno serda dedi is anggota koramil matesih laksana ppkm lepel pasar pagi matesih,positif
962,babinsa desa ganti warno serda dedi is anggota koramil matesih laksana ppkm lepel pasar pagi matesih,positif
963,planning ppkm beneran kaga luncur,netral
964,pemerintahe plin plan ppkm indonesia,netral
965,ppkm,netral
966,serma sarno anggota koramil matesih laksana patroli ppkm level jalan joko songo matesih men,positif
967,serma sarno anggota koramil matesih laksana patroli ppkm level jalan joko songo matesih men,positif
968,serma sarno anggota koramil matesih laksana patroli ppkm level jalan joko songo matesih men,positif
969,ppkm darurat ono tindak lurrr dodol dawet ciduk dodol bakso ciduk dodol kopi siram banyu panas dodol klamb,netral
970,serma sarno anggota koramil matesih laksana patroli ppkm level jalan joko songo matesih men,positif
971,ppkm level batal phri banyuwangi optimistis okupansi hotel,netral
972,serma sarno anggota koramil matesih laksana patroli ppkm level jalan joko songo matesih men,positif
973,ppkm batal buna libur kemanaaaaaa,netral
974,ih ppkm,netral
975,perintah cari opsi ppkm jalan kantor masuk full ppkm lv,netral
976,goud teori konspirasi ppkm lv nataru kantor,netral
977,mutasi mati lemah sifat periksa teliti,netral
978,papar tugas nakes resiko mohon patuh prokes jaga sehat ngeyel,positif
979,ppkm jakarta lancar jaya,positif
980,gaboleh ppkm,netral
981,ppkm suka suka,netral
982,ppkm suka suka,netral
983,ppkm suka suka,netral
984,waspada gelombang omicron cegah vaksinasi bijak ppkm level taat protokol,positif
985,ppkm level bandar lampung terap ketat wilayah jelang nataru jumat baca lengkap,positif
986,meja samping tamu minimal model aesthetic baru murah lengkap,netral
987,kirain gara-gara ppkm,netral
988,batal ppkm level perintah larang pawai arak ara raya nasional,positif
989,dufan desember ppkm,netral
990,cegah omicron ppkm vaksinasi indonesiasehatindonesiahebat bersatulawancovid,positif
991,batal ppkm sambut positiflangsung henti geger muktamar pad,netral
992,vaksin lengkap atas ppkm bum aktif rin kay,positif
993,regu batas regu mobile kota ppkm nataru laksana bena,netral
994,drs noviar rahmad utara laku ppkm nataru person,netral
995,patroli himbauan tegur dagang beli pasar krempyeng kel pandean lamper,positif
996,ppkm laku nataru shamsi ali singgung ketat lebaran jumat,positif
997,ppkm level libur nataru batal sragen laku batas periksa bukti swab,positif
998,abang jual ppkm brrti gasopan deng gasopan punya uang,netral
999,heh nie dnger dnger ppkm nataru dibatalin yh avvv bismillah libur,positif
1000,bukti vaksin gakngaruh kemarin gelombang besar kisar agustus ppkm level,netral
1001,kangen time pergi mall juli ppkm wkwkwk,netral
1002,wooowwww dagang masuk penjara kait ppkm cari nafkag sopan,netral
1003,clingy one when comes lover but also can mature if need someone lean on,netral
1004,gakenal ppkm kenal pipikamu alias jaga jarak manaaa couple,netral
1005,ppkm level batal kalong laku sekat kalong libur nataru sekat ppkm level,netral
1006,dagang jual sita ppkm sopan tahan denda mer,netral
1007,masuk menteri komen aneh makan nasi kucing negara,netral
1008,serma maryanto babinsa hargotirto koramil kokap kodim klp monitoring damping giat,positif
1009,tutup ppkm,netral
1010,nice info ppkm,netral
1011,waspada atur ppkm khusus waspada,positif
1012,banda aceh level zona kuning raya ingat level,positif
1013,sesuai ppkm natal bersamaelshinta,netral
1014,sungguh sayang inkonsistensi bijak tangan ppkm level libur natal,netral
1015,sungguh muliaa sekali waktu ppkm sampeyan nafkah lc,netral
1016,batal ppkm level pks inkonsistensi hormat,netral
1017,jelang periode natal nataru perintah antisipasi lonjak kemuncu,positif
1018,when have jakarta like ppkm pulang pergi kena macet,netral
1019,wahaha ppkm nda looh ini kabar yasuuud libur sajaaa,netral
1020,patroli himbauan tegur dagang beli pasar krempyeng kel pandean lamper,positif
1021,teman teman ngajakin reuni tanggal anying natal ppkm anying kgkkkk,negatif
1022,ppkm level perintah laku upaya cegah lonjak,positif
1023,ppkm hidup susah,negatif
1024,perintah indonesia panjang laku batas giat masyarakat ppkm jawa bal,positif
1025,wish luck allah kampung ppkm,netral
1026,ppkm tuju nikmat enjoi merem melek,netral
1027,atur baru libur sekolah kait hapus ppkm nataru,positif
1028,ppkm level iii batal polri diri check point libur natal,positif
1029,ppkm level iii batal polri diri check point libur natal,positif
1030,nyata menko luhut kait batal terap ppkm level libur nataru,positif
1031,buka semenjak ppkm opsi masuk akal coba,positif
1032,ppkm ppkm perlu kg libur gerombol sekolah anjrt,negatif
1033,ppkm level jalan yasin warga jawa tahan nafsu aji tajyasin wagubjateng santrigayeng,negatif
1034,moga ppkm,netral
1035,ppkm limpahin daerah ppkm wewenang pusat riweh,netral
1036,kait ppkm ngikutin series on going red sleeve seriesnya lucu gemes seri,netral
1037,ajar ppkm mbak,netral
1038,ngapain ppkm rumah mati gaya rebah gaya,netral
1039,survei lokasi tutup ppkm kemarin,netral
1040,lihat jalan jalan longgar prokesnya omicron mata bijak tarik ul,netral
1041,dips ppkm,netral
1042,ppkm level batal kampung flory buka batas,positif
1043,tantang dunia digital komunikasi,netral
1044,tantang dunia digital komunikasi,netral
1045,ppkm level ketat,netral
1046,rek ngkok sido onok ppkm lek sido tanggal piro suwunn,netral
1047,alhamdulillah jalan sesat akibat ppkm,netral
1048,pulang tanggal kr ubah atur ppkm ribet,netral
1049,ppkm level nataru batal rezim jokowi nilai sahabat islam,negatif
1050,ppkm level natal batal alifudin sayang labil perintah,netral
1051,ppkm level iii batal asn keluarga larang cuti natal giat,netral
1052,atur baru menteri negeri ganti ppkm level raya natal kabartrenggalek,netral
1053,natal cepat bangett iyaa anak osis rencana resmi kaya,netral
1054,cepat ppkm kendorin pda ngespoilerin pda mesen tiket,netral
1055,ppkm kendor inshaalloh mampir ciganjur sambang putra,netral
1056,tayang hendri satrio deddy sitorus ilc ppkm wewenang full,netral
1057,lengah vaksinasi kunci tito buka rapa,negatif
1058,ppkm level batal nataru usaha sulsel dorong ekonomi,positif
1059,ppkm rupiah jie mtnya pakai titik,netral
1060,ppkm nataru alun alun indonesia tutup,positif
1061,wkwkwk ppkm rupiah,netral
1062,ppkm level nataru batalin mudik medan,positif
1063,lengah vaksinasi kunci tito buka rapa,negatif
1064,nemu playlist ppkm,netral
1065,ppkm jam,netral
1066,ppkm jie,netral
1067,adek galibur emiii huhu must tough for students pergi libur,netral
1068,border tutup masker turun libur kondangin ramai end year bolong ppkm,netral
1069,disiyapkan ppkm level libur iedul fitri,netral
1070,asekkk ppkm,netral
1071,kuat kuatin cari ppkm,netral
1072,ve cari ppkm,netral
1073,arisan trah perintah ppkm level semego janti klaten,netral
1074,lengah vaksinasi kunci tito buka rapa,negatif
1075,ppkm,netral
1076,kerepot sedia transport tamu penuh semangat bal makas luhut ppkm,netral
1077,ppkm level lll batal amat dar batal pasti,netral
1078,ppkm level lll batal amat dar batal pasti,netral
1079,mendagri terbit instruksi sesuai ppkm nataru jelang jelas,netral
1080,salam ppkm,netral
1081,rencana ppkm level indonesia resmi batal perintah letsgoooo libur gengs rencana,positif
1082,yuk gaezzz agenda libur skarang ppkm private trip pulau tabuhan pulau menjangan miting,positif
1083,perintah batal terap ppkm level wilayah indonesia libur natal,positif
1084,lengah vaksinasi kunci tito buka rapa,negatif
1085,ppkm level batal umat nasrani tiada,positif
1086,komsos babinsa desa wanareja sosialisakan ppkm vaksin,positif
1087,bolong gada ppkm januari februari insentif dobel nakes kawan,netral
1088,wujud kondusifitas wilayah laksana giat patroli rangka laksana ppkm level ii batas mobilitas,positif
1089,polsek mojoroto bktm kel pojok aipda ibnu sambang posko ppkm mikro himbauan prokes sosialisasiedukasiprokes,positif
1090,ppkm rumah hobi masak suka lihat youtube pakai kuota keren max gb,positif
1091,ngajuin judul alhamdulillah ngajuin langsung acc dosbing masyallah slowr,positif
1092,menko airlangga apresiasi dedikasi tni polri dukung tangan laku,positif
1093,ppkm rumah ngabisin kuota ngezoom eits tenang keren max gb,positif
1094,aswb ppkm laku jurus jitu ketat salah guna,netral
1095,ppkm pilih tahan lonjak jelang natal yuk disiplin prokes,positif
1096,gubernur pulau riau ansar ahmad bahas bijak baru kait raya natal ppkm,positif
1097,libur nataru zulhas saran terap ppkm level,positif
1098,ppkm level batal usaha mamin gembira lengkapcepatberitanya uang ekonomi ekonomi,positif
1099,tupoksi rezim kacau balau tumpang tindih ulah seoran,positif
1100,polsek mojoroto bktm kel pojok aiptu dwi siswanto anggota satgas sambang posko ppkm mikro himbauan prokes,positif
1101,natal ppkm coba lihat besok lebaran ppkm yaaa,netral
1102,ppkm laku batas tenang ramai,netral
1103,ppkm level batal polri diri check point libur nataru liburnataru,positif
1104,laksana giat operasi yustisi mobile pilar laksana ppkm level sesuai pergub,positif
1105,ppkm level batal disbudpar semarang industri wisata siap strategi jelang nataru,positif
1106,polsek mojoroto bktm kel campurejo aipda dwi kiswanto sambang posko ppkm mikro himbauan prokes,positif
1107,mentang mentang ppkm,netral
1108,ngantor ppkm beli baju mulu heran kaya kurung kemarin nafsu belanja,negatif
1109,pokok happy banget anak anak sekolah ptmt adik ku suami rumah kare,netral
1110,goyah sendi sendi adil gemuruh undang kontroversi kontroversi tidak pasti huk,netral
1111,aksi adab mangoded bandung hak asasi manusia selamathariham harihaminternasional humanrights innalillahi,netral
1112,ganas pilih bukti libur nataru status ppkm level dibatalin,positif
1113,sertifikat vaksin pergi nunjukin operasi ppkm,positif
1114,ppkm,netral
1115,plan plen feses kucing ppkm,netral
1116,laku batas giat masyarakat ppkm lak,netral
1117,ppkm level pad nataru batal mohon dooonggg,netral
1118,polsek mojoroto bktm kel lirboyo aiptu had suwignyo sambang posko ppkm mikro himbauan prokes,positif
1119,tingkat mobilitas pariwisata kerap psbb ppkm,positif
1120,harus ppkm laku masarakat sadar,positif
1121,ppkm level libur nataru perintah provinsi jakarta tunggu instruksi perintah lengkapcepatberitanya beritaterkini ber,positif
1122,ppkm level libur nataru perintah provinsi jakarta tunggu instruksi perintah lengkapcepatberitanya,positif
1123,mendagri terbit instruksi sesuai ppkm nataru jelang jelas,positif
1124,ji liat bantu ibhrs kena denda mapuluhjuta akibat ppkm,positif
1125,siapa gem perintah ppkm ganti judul,positif
1126,stalk upload foto pacar kafe ppkm lawak,positif
1127,giat operasi yustisi ppkm level gabung pilar semarang utara laksana himbauan prokes bagi,positif
1128,kerja setan natal batas acara duniawi longgar,negatif
1129,bismillah ono ajaib ppkm batal,positif
1130,tiket pop up store bts senayan tanggal desember sold buka tanggal desember regisnya website mor,netral
1131,sesuai ppkm natal,netral
1132,heboh tagar ppkm muslim,netral
1133,usaha apresiasi batal ppkm level daerah,positif
1134,ppkm panik,netral
1135,ppkm batal masak edar libur dibatalin lelah sekolah mulu,netral
1136,hubung ppkm catat jadwal jam operasional selasa minggu sesi sesi,positif
1137,ppkm level batal sultan alas diy tutup objek wisata by indonesia,positif
1138,ptn dom jogja bosen ajar rumah saranin coba grahatama pustaka pustaka grhatama pusta,netral
1139,kendali ppkm saksi berita kabar indonesia malam chacha annisa,positif
1140,ppkm level nataru batal polri gelar operasi lilin,positif
1141,preketek kale lue kampung jakarta ppkm yeee asa mudik,netral
1142,salah satu atur terap ppkm level indonesia inmendagri masyara,positif
1143,ppkm karantina setan wujud manusia,negatif
1144,tugas pp kabupaten grobogan patroli awas ppkm level protkes kendali wilayah kabupaten,positif
1145,mendagri tito karnavian revisi atur ppkm level nataru baca atur lengkap jelang nataru,positif
1146,atur libur semester anjing anak sekolah kerja,negatif
1147,dprd sayang pekanbaru ppkm level,netral
1148,tolol emamg ppkm,negatif
1149,himbuan prokes ppkm babinsa koramil selomerto gencar sambang pasar jelang nataru,positif
1150,wali kota ppkm level palangka raya lanjut desember,positif
1151,ppkm jogja,netral
1152,ppkm level batal asn larang cuti siswa sekolah libur,positif
1153,gass pumpung rung ppkm,netral
1154,tuandanpuan menindaklanjuti arah presiden rapat kabinet evaluasi ppkm senin ksp laksana mo,positif
1155,laku ppkm tim ldr ketemu awas ye lebaran pakai acara ppkm,netral
1156,update rekap data implementasi ppkm zonasi kendali tingkat rukun tetangga kalurahan,positif
1157,telpon mama alhamdulillah sehat semangat punchline mama perintah murid les,positif
1158,kabar libur jogja ppkm level cewekjogja ukhtijogja jilbobjogja hijabjogja,netral
1159,aksi adab mangoded bandung hak asasi manusia selamathariham harihaminternasional,netral
1160,jin ngerasain ppkm,netral
1161,ganas ppkm nataru besok,netral
1162,aksi adab mangoded bandung hak asasi manusia selamathariham harihaminternasional,netral
1163,nataru wisata buka sholat jaga jarak masjid tutup raya ppkm ketat kopet,positif
1164,mudah menang main mudah jackpot langsung contact salam suk,netral
1165,informasi krl layan wilayah status ppkm beda beda,netral
1166,aksi adab mangoded bandung hak asasi manusia selamathariham harihaminternasional humanrights,netral
1167,wali kota semarang hendrar prihadi ikut putus perintah pusat kait pe,netral
1168,aksi adab mangoded bandung hak asasi manusia selamathariham harihaminternasional,netral
1169,tinggi angka tracing salah alas kendal angka salatiga,netral
1170,tuandanpuan menindaklanjuti arah presiden rapat kabinet evaluasi ppkm senin ksp mela,positif
1171,aksi adab mangoded bandung hak asasi manusia selamathariham harihaminternasional,netral
1172,aksi adab mangoded bandung hak asasi manusia selamathariham harihaminternasional,netral
1173,aksi adab mangoded bandung hak asasi manusia selamathariham harihaminternasional humanrights,netral
1174,efek ppkm,netral
1175,special ppkm beri harap palsu pesan promo promo harap dptkan sempat bulan desember,netral
1176,hadir boss mega win jackpot juta rupiah menang extra,netral
1177,mudah menang main mudah jackpot langsung contact salam suk,netral
1178,yasudah marah mentang mentang raya agama ppkm permasalahin thr jga,negatif
1179,bau ppkm,netral
1180,wkkwkwkkw planning rumah ppkm,netral
1181,wkwkwwk ppkm baca,netral
1182,sesuai ppkm natal,netral
1183,omong lbp ppkm level batal ganti istililah,positif
1184,angka sepi patok ppkm,positif
1185,ppkm level batal ekonomi kuartal iv baik,positif
1186,alun alun tutup malam,positif
1187,ppkm tiada batas langkah antisipasi terap protokol sehat,positif
1188,dibatalin ppkm,netral
1189,ppkm level hbatal jelang nataru mimika putus,netral
1190,tolol jalan bikin lewatin warge situ,negatif
1191,tolol jalan bikin lewatin warge situ lewatin lagia,negatif
1192,tunda ppkm,netral
1193,ulang desa awal tinggal tekan lapang gun,netral
1194,rapat koordinasi tingkat menteri kembang laksana laku batas giat masyarakat ppkm,positif
1195,menteri agama ribut tokoh agama menteri sosial korupsi dana bantu sosial menteri ppa diem,negatif
1196,menteri desa pdtt monitoring laksana ppkm tingkat mikro sesuai wenang,positif
1197,konferensi pers menko ekonomi kait terap laku pe,positif
1198,rapat koordinasi lintas menteri lembaga tindak tangan susul pemberlakua,positif
1199,ohh kirain kota ppkm bilanginnn,netral
1200,ppkm level indonesia batal kemenhub juta pergi nataru,positif
1201,presiden putus turun level ppkm daerah tanggal agustus agustus,positif
1202,ganjar paham tangan nataru maksimal,positif
1203,enak dagang masuk penjara gara langgar atur psbb ppkm mati,negatif
1204,ppkm level ubah nama alun alun indonesia tutup inilahcom inilahdotcom,positif
1205,lebaran ppkm terobos bodoh banget ppkmhanyauntukmuslim ppkmhanyauntukmuslim,negatif
1206,ppkm level batal diskon terbang serbu warga,netral
1207,pasuk ppkm darurat himbau warga desa rumah mohon tahan bentuk akt,positif
1208,tauu akuu kabar libur gada libur ppkm,netral
1209,malam undang klik indonesia petang tvri kait peran menteri desa pdtt situasi,netral
1210,omricon bekas beritaterkini beritaviral berita news newsupdate viral viraltiktok vira,netral
1211,omricon bekas beritaterkini beritaviral berita news newsupdate viral viraltiktok,netral
1212,halo selamat sore kunjung bps kabupaten bogor website terang,netral
1213,bijak indonesia dampak global,positif
1214,anies laku ppkm level nataru jakarta,positif
1215,wakil presiden batas ppkm natura gantung daerah,positif
1216,timbang hapus libur nataru libur jalan uang,positif
1217,operasi yustisi ppkm level koramil benowo pilar wilayah kodim surabaya utara,positif
1218,ppkm,netral
1219,ppkm mikro aceh panjang laku desember,positif
1220,ppkm level batal diskon terbang serbu warga,positif
1221,aksi adab mangoded bandung hak asasi manusia selamathariham harihaminternasional humanrights innalillahi,netral
1222,aksi adab mangoded bandung hak asasi manusia selamathariham harihaminternasional humanrights innalillahi,netral
1223,aksi adab mangoded bandung hak asasi manusia selamathariham harihaminternasional humanrights innalillahi,netral
1224,piala eropa bts meal ppkm panjang daftar telusur populer google,netral
1225,piala eropa bts meal ppkm panjang daftar telusur populer google sepa,netral
1226,ppkm batal protokol sehat ketat aman,netral
1227,tahu sahabat rilis atur ajar periode jelang,netral
1228,ppkm tad,netral
1229,kapolresta solo terap ppkm mikro tingkat lurah libur nataru mudik wajib swab,netral
1230,aksi adab mangoded bandung hak asasi manusia selamathariham harihaminternasional humanrights,netral
1231,ppkm level batal atur resmi ganti,positif
1232,november jakarta terap status laku batas giat masyarakat ppkm,positif
1233,ibukora bangun earth hour kilang minyak bakar main pubg bos,netral
1234,aksi adab mangoded bandung hak asasi manusia selamathariham harihaminternasional humanrights,netral
1235,aksi adab mangoded bandung hak asasi manusia selamathariham harihaminternasional humanrights,netral
1236,aksi adab mangoded bandung hak asasi manusia selamathariham harihaminternasional,netral
1237,podcast indonesia boys club banget banget selamat polisi internet billy oscar,netral
1238,aksi adab mangoded bandung hak asasi manusia selamathariham harihaminternasional humanrights,netral
1239,ppkm kgk kmn rmh,netral
1240,ppkm,netral
1241,aksi adab mangoded bandung hak asasi manusia selamathariham harihaminternasional,netral
